file,nb,kind,rows,cols,start,end,mb,roundtrip,sha256
ch13_nb01_backtest_prices.parquet,01,backtest,4902,50,2007-01-03,2026-06-29,1.56,OK,e8907b4c6ddbb026df1f0ccafe61dc24d877e6306cabf191e8206b29b1280c25
ch13_nb01_benchmark_prices.parquet,01,benchmark,4902,1,2007-01-03,2026-06-29,0.08,OK,7860f8d42a7f55b9eaa34c11b995bfb9452d8ef991f31e893bbda6cd974ab56a
ch13_nb01_signal_prices.parquet,01,signal,4882,250,2007-01-03,2026-05-29,9.04,OK,9699f14d23a328b1294a30974cbe52284a0ae5b420b9a7f44ff0c1e5e76767dd
ch13_nb02_backtest_prices.parquet,02,backtest,4902,50,2007-01-03,2026-06-29,1.56,OK,e8907b4c6ddbb026df1f0ccafe61dc24d877e6306cabf191e8206b29b1280c25
ch13_nb02_benchmark_prices.parquet,02,benchmark,4902,1,2007-01-03,2026-06-29,0.08,OK,7860f8d42a7f55b9eaa34c11b995bfb9452d8ef991f31e893bbda6cd974ab56a
ch13_nb02_signal_prices.parquet,02,signal,4882,250,2007-01-03,2026-05-29,9.04,OK,9699f14d23a328b1294a30974cbe52284a0ae5b420b9a7f44ff0c1e5e76767dd
ch13_nb03_backtest_prices.parquet,03,backtest,4902,18,2007-01-03,2026-06-29,0.64,OK,8a5bbc9b785cc32c56cbe31ca7c66fd1db28ede5309f43173476d9d6a22cda3c
ch13_nb03_benchmark_prices.parquet,03,benchmark,4902,1,2007-01-03,2026-06-29,0.08,OK,7860f8d42a7f55b9eaa34c11b995bfb9452d8ef991f31e893bbda6cd974ab56a
ch13_nb03_signal_prices.parquet,03,signal,4882,90,2007-01-03,2026-05-29,3.63,OK,e84dce41cbedd32f08a2a71e5dea4c9301634d7ba92a5cfc66ddbdf287b72396
ch13_nb04_backtest_prices.parquet,04,backtest,5806,4,2003-06-02,2026-06-29,0.21,OK,944b58d86b05cefac92ca4230c1e9aba4d4b82cf3d974adfb27fb04ed7d86a6c
ch13_nb04_benchmark_prices.parquet,04,benchmark,5806,1,2003-06-02,2026-06-29,0.1,OK,9cb82cf9e351f4ae7c9cfba5425c68db3e459897ca9bcfc158e69d4e7d60e1e2
ch13_nb04_signal_prices.parquet,04,signal,5786,30,2003-06-02,2026-05-29,1.52,OK,07e79aced5af5d000ac240d0f28ddf4da50bbc68cf1eff2975c674ad65d839c2
ch13_nb05_backtest_prices.parquet,05,backtest,6920,4,1998-12-22,2026-06-29,0.25,OK,24b44b1d0fa3d2aff6c745d681250bfc109e376e67048365c9d97f33aac599a3
ch13_nb05_benchmark_prices.parquet,05,benchmark,6935,1,1998-12-01,2026-06-29,0.11,OK,7a0213d69c29ce6f47207d2d5603a810d274e0051d86f4160ad280ae43e89199
ch13_nb05_ppi_series.parquet,05,ppi,330,2,1998-12-01,2026-05-01,0.01,OK,14bd43b72e6a46edcefa44721a321c389e6b0a88289759f487b1d492cf3a424f
ch13_nb05_signal_prices.parquet,05,signal,6915,25,1998-12-01,2026-05-29,1.54,OK,41ba42e36dc743b72b82a6de61691052d71461ff1ece96db614e7514b6dba18e
ch13_nb06_backtest_prices.parquet,06,backtest,5909,58,2003-01-02,2026-06-29,1.99,OK,f2721b27fa97a18cd4c80f638fa17312499a0bea1bbb7ddebe47a5aefa8c1535
ch13_nb06_benchmark_prices.parquet,06,benchmark,5909,1,2003-01-02,2026-06-29,0.1,OK,ec37eb853ef2015108568324ae4b4881382505c2c3ba14621af7eaddec75089f
ch13_nb06_signal_prices.parquet,06,signal,5889,290,2003-01-02,2026-05-29,11.67,OK,3eb9dbb076211786b5a0de07e9974442a372061ff2127c43c2ac6cee0d0e580a
ch13_nb07_backtest_prices.parquet,07,backtest,4304,1,2014-09-17,2026-06-29,0.07,OK,48471ae7a8187ca4b66d76d8a9b1c513ef839c86d80931d7437c32180cf9b2b8
ch13_nb07_benchmark_prices.parquet,07,benchmark,4304,1,2014-09-17,2026-06-29,0.07,OK,730e4da40c3d14dd9ab969fb2d59a7cae899af7ca3bd501185907f2190c2d069
ch13_nb07_signal_prices.parquet,07,signal,4274,5,2014-09-17,2026-05-30,0.21,OK,0bfc7367b41e3a24c4270cfd7d78916ef9a752cb25e55c0290ac21c02b888b56
