Date,QQQ,VTI,VYM,IWM,SMDV,SPYG,IWF,VO,VBR,VOE,SPGP,REGL,IWV,XLF,XLE,XLK,XLV,XLY,XLI,XLP,XLU,XLC,SOXX,MOAT,ARKK,ARKG,ARKW,SDY,USMV,HDV,DIA,FDN,VIG,FPX,ITB,ITA,DES,XMLV,SPY,QTUM,TLT,IEF,SHY,BIL,AGG,LQD,HYG,MBB,PFF,GLD,SLV,DBC,USO,PICK,UUP,GDX,GDXJ,DBA
2004-01-31,0.200000,,,0.200000,,,,,,,,,,,,0.200000,,0.200000,,,,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-29,0.200000,,,0.200000,,,,,,,,,,0.200000,,,,0.200000,,,,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,0.200000,,,0.200000,,,,,,,,,,0.200000,,0.200000,,,,,,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-30,0.200000,0.200000,,0.200000,,,,,,,,,,,0.200000,,,,,,,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-31,0.200000,,,0.200000,,,,,,,,,,,0.200000,,,,0.200000,,,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-31,,0.200000,,0.200000,,,,,,,,,,,0.200000,,,,0.200000,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-31,,,,,,,,,,,,,0.200000,0.200000,0.200000,,,,0.200000,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,,0.200000,,0.200000,,,,,,,,,,,0.200000,,,,0.200000,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-31,,,,0.200000,,,,,,,,,,,0.200000,,,,0.200000,,0.200000,,,,,,,,,,,,,,,,,,,,0.200000,,,,,,,,,,,,,,,,,
2004-11-30,,0.200000,,0.200000,,,,,,,,,,,0.200000,,,,0.200000,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,,,,0.200000,,,,,,,,,,,0.200000,,,0.200000,0.200000,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-31,,,,,,,,0.200000,0.200000,,,,,,0.200000,,,,0.200000,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-30,,,,,,,,0.200000,,,,,,,0.200000,,,,0.200000,,0.200000,,,,,,,,,,,,,,,,,,,,0.200000,,,,,,,,,,,,,,,,,
2005-05-31,,,,,,,,0.200000,0.200000,,,,,,0.200000,,,,,,0.200000,,,,,,,,,,,,,,,,,,,,0.200000,,,,,,,,,,,,,,,,,
2005-07-31,,,,0.200000,,,,0.200000,0.200000,,,,,,0.200000,,,,,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,,,0.200000,,,,0.200000,,,,,,,0.200000,,,,,,0.200000,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,,,,,,,,0.200000,0.200000,,,,,,0.200000,,,,,,0.200000,,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
